"anio","mes","tot_Extorsion","tot_Homicidio","tot_Resto","tot_Robo_vehi","tot_Secuestro","tot_incid","tot_pob","tasa_incid","tasa_homic","tasa_extor","tasa_secue"
2012,1,539,1750,116955,18444,113,137801,116935670,117.843426218877,1.49654934204422,0.46093719734962,0.0966343289434268
2012,2,543,1654,116716,17486,110,136509,116935670,116.738545218922,1.41445292099494,0.464357881560006,0.0940688157856367
2012,3,555,1794,131606,18663,129,152747,116935670,130.624812770988,1.53417686835847,0.474619934191167,0.110317065784974
2012,4,543,1860,118212,17027,106,137748,116935670,117.79810215309,1.59061815782986,0.464357881560006,0.0906481315752499
2012,5,629,1978,130781,17749,124,151261,116935670,129.354028586829,1.69152834203627,0.537902592083322,0.10604121052199
2012,6,679,1862,126183,16258,106,145088,116935670,124.07505767915,1.59232849993505,0.580661144713157,0.0906481315752499
2012,7,598,1807,123728,17271,97,143501,116935670,122.717901218679,1.54529409204223,0.511392289452825,0.0829515921018796
2012,8,695,1911,127304,17405,116,147431,116935670,126.078723455384,1.63423188151229,0.594343881554704,0.0991998421012169
2012,9,642,1824,125335,16809,111,144721,116935670,123.761209902847,1.55983199993638,0.549019815767079,0.0949239868382334
2012,10,670,1662,131416,17768,142,151658,116935670,129.69353149471,1.42129428941571,0.572964605239787,0.121434289468731
2012,11,612,1658,121592,17197,139,141198,116935670,120.748442284548,1.41787360520532,0.523364684189178,0.118868776310941
2012,12,575,1699,113906,16627,128,132935,116935670,113.682163876942,1.45293561836179,0.491723355243101,0.109461894732377
2013,1,577,1515,119819,17662,134,139707,118453929,117.942056611731,1.27897825997819,0.487109211886083,0.113124149727444
2013,2,594,1419,115935,15826,115,133889,118453929,113.030442409386,1.19793409300927,0.501460783120161,0.0970841583481794
2013,3,640,1595,122114,16347,149,140845,118453929,118.902767674342,1.34651506578562,0.540294446459433,0.125787300816337
2013,4,764,1643,132726,15849,146,151128,118453929,127.583779850814,1.38703714927008,0.644976495460948,0.123254670598558
2013,5,784,1620,131478,16185,135,150202,118453929,126.802041323593,1.36762031760044,0.661860696912806,0.113968359800037
2013,6,688,1569,123286,14746,142,140431,118453929,118.553264704289,1.3245656038982,0.580816529943891,0.119877830308187
2013,7,781,1468,127578,15356,151,145334,118453929,122.692426690211,1.23930038656632,0.659328066695027,0.127475720961523
2013,8,668,1464,131195,16375,151,149853,118453929,126.507412008259,1.23592354627595,0.563932328492033,0.127475720961523
2013,9,721,1478,122460,14637,137,139433,118453929,117.710743051841,1.24774248729225,0.608675462339455,0.115656779945222
2013,10,726,1509,131762,15587,157,149741,118453929,126.412860480128,1.27391299954263,0.61289651270242,0.13254098139708
2013,11,666,1394,116979,15149,152,134340,118453929,113.411181152125,1.17682884119445,0.562243908346848,0.128319931034115
2013,12,604,1432,112843,14985,119,129983,118453929,109.732957865838,1.20890882395298,0.50990288384609,0.100460998638551
2014,1,583,1369,113086,15204,133,130375,119936411,108.703436190032,1.1414381909427,0.486090916960989,0.110892095979093
2014,2,553,1283,114324,13861,146,130167,119936411,108.530010957223,1.06973352737727,0.461077662228862,0.121731173029682
2014,3,602,1412,128069,14541,137,144761,119936411,120.698125609245,1.17729052272541,0.501932644958002,0.114227196610044
2014,4,619,1367,123097,13279,137,138499,119936411,115.477025571492,1.13977064062722,0.51610682263954,0.114227196610044
2014,5,507,1397,127563,14071,135,143673,119936411,119.790978237626,1.16478389535935,0.422724004972935,0.112559646294569
2014,6,449,1206,124038,12952,111,138756,119936411,115.691305787031,1.00553284023148,0.374365045824158,0.0925490425088675
2014,7,415,1196,122232,13722,98,137663,119936411,114.779989539624,0.997195088654104,0.346016690461081,0.0817099654582794
2014,8,407,1286,121265,13521,116,136595,119936411,113.88951767116,1.07223485285048,0.339346489199181,0.0967179182975552
2014,9,426,1245,121775,13217,98,136761,119936411,114.027924347344,1.03805007138324,0.355188217196194,0.0817099654582794
2014,10,476,1281,124534,13923,99,140313,119936411,116.989493707628,1.06806597706179,0.396876975083071,0.0825437406160169
2014,11,363,1224,108286,13183,102,123158,119936411,102.686080876641,1.02054079307075,0.302660382258729,0.0850450660892296
2014,12,380,1254,107315,13221,83,122253,119936411,101.931514358888,1.04555404780288,0.316834559940267,0.0692033380922162
2015,1,369,1229,104373,13838,89,119898,121347800,98.8052523407923,1.0127913320225,0.304084622877382,0.073342903620832
2015,2,468,1248,106437,12865,108,121126,121347800,99.8172195952461,1.02844880582919,0.385668302185948,0.0890003774275265
